"Entrez","GeneSymbol"
84105,"PCBD2"
84274,"COQ5"
84513,"PLPP5"
84532,"ACSS1"
84693,"MCEE"
84720,"PIGO"
84787,"KMT5C"
84869,"CBR4"
84890,"ADO"
84920,"ALG10"
85007,"PHYKPL"
85465,"SELENOI"
90701,"SEC11C"
91012,"CERS5"
91179,"SCARF2"
91373,"UAP1L1"
92579,"G6PC3"
93100,"NAPRT"
94005,"PIGS"
112483,"SAT2"
112724,"RDH13"
114971,"PTPMT1"
118881,"COMTD1"
124583,"CANT1"
126328,"NDUFA11"
126792,"B3GALT6"
128869,"PIGU"
129607,"CMPK2"
132789,"GNPDA2"
139596,"UPRT"
144195,"SLC2A14"
145553,"MDP1"
154141,"MBOAT1"
166012,"CHST13"
166785,"MMAA"
170384,"FUT11"
171425,"CLYBL"
192286,"HIGD2A"
197258,"FCSK"
200576,"PIKFYVE"
201562,"HACD2"
201595,"STT3B"
221955,"DAGLB"
253558,"LCLAT1"
253782,"CERS6"
259307,"IL4I1"
283209,"PGM2L1"
284004,"HEXD"
284129,"SLC26A11"
284273,"ZADH2"
286016,"TPI1P2"
286297,"LOC286297"
286410,"ATP11C"
347734,"SLC35B2"
374291,"NDUFS7"
375056,"MIA3"
376497,"SLC27A1"
389015,"SLC9A4"
401494,"HACD4"
403313,"PLPP6"
641371,"ACOT1"
728441,"GGT2"
100137049,"PLA2G4B"
100507855,
100526794,"NT5C1B-RDH14"
102724197,"LOC102724197"
